positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,205,5,9,1,220,0.9363636363636364,0.1,0.16666666666666666,0.125
1,205,1,13,1,220,0.9363636363636364,0.07142857142857142,0.5,0.125
2,115,10,7,88,220,0.9227272727272727,0.9263157894736842,0.8979591836734694,0.9119170984455959
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,97,27,9,87,220,0.8363636363636363,0.90625,0.7631578947368421,0.8285714285714286
