positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,206,4,9,1,220,0.9409090909090909,0.1,0.2,0.13333333333333333
1,206,0,14,0,220,0.9363636363636364,0.0,0.0,0.0
2,118,7,7,88,220,0.9363636363636364,0.9263157894736842,0.9263157894736842,0.9263157894736842
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,95,29,5,91,220,0.8454545454545455,0.9479166666666666,0.7583333333333333,0.8425925925925926
