positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,207,3,9,1,220,0.9454545454545454,0.1,0.25,0.14285714285714285
1,205,1,14,0,220,0.9318181818181818,0.0,0.0,0.0
2,116,9,7,88,220,0.9272727272727272,0.9263157894736842,0.9072164948453608,0.9166666666666666
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,95,29,7,89,220,0.8363636363636363,0.9270833333333334,0.7542372881355932,0.8317757009345794
