positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,206,4,9,1,220,0.9409090909090909,0.1,0.2,0.13333333333333333
1,205,1,13,1,220,0.9363636363636364,0.07142857142857142,0.5,0.125
2,114,11,8,87,220,0.9136363636363637,0.9157894736842105,0.8877551020408163,0.9015544041450777
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,96,28,9,87,220,0.8318181818181818,0.90625,0.7565217391304347,0.8246445497630331
