positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,208,2,9,1,220,0.95,0.1,0.3333333333333333,0.15384615384615385
1,206,0,13,1,220,0.9409090909090909,0.07142857142857142,1.0,0.13333333333333333
2,118,7,8,87,220,0.9318181818181818,0.9157894736842105,0.925531914893617,0.9206349206349206
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,95,29,3,93,220,0.8545454545454545,0.96875,0.7622950819672131,0.8532110091743119
