positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score
0,207,3,9,1,220,0.9454545454545454,0.1,0.25,0.14285714285714285
1,206,0,13,1,220,0.9409090909090909,0.07142857142857142,1.0,0.13333333333333333
2,116,9,7,88,220,0.9272727272727272,0.9263157894736842,0.9072164948453608,0.9166666666666666
3,215,0,5,0,220,0.9772727272727273,0.0,0.0,0.0
4,96,28,6,90,220,0.8454545454545455,0.9375,0.7627118644067796,0.8411214953271028
